,Genre,Gross,actors,directors,producers,rel_date,title,writers
493,Romance,15251600,Denzel Washington,Mira Nair,,1992-02-05,Mississippi Masala,
494,Comedy,68735700,Kevin Hart/Josh Gad/Kaley Cuoco/Olivia Thirlby,Jeremy Garelick,Jeremy Garelick/Will Packer,2015-01-16,The Wedding Ringer,Jeremy Garelick/Jay Lavender
495,Drama,40900,James Franco,James Franco,,2014-08-01,Child of God,James Franco
496,Comedy,114905700,Jim Carrey/Bradley Cooper/Zooey Deschanel,Peyton Reed,Dana Goldberg/David Heyman,2008-12-19,Yes Man,Nick Stoller
497,Comedy,2340700,,Todd Graff,Michael Shamberg/Stacey Sher/John Wells,2003-07-25,Camp,Todd Graff
498,Historical Drama,72769900,Helen Mirren/Michael Sheen,Stephen Frears,Scott Rudin,2006-09-30,The Queen,Peter Morgan
499,War Drama,1669000,George Clooney/Cate Blanchett/Tobey Maguire,Steven Soderbergh,Gregory Jacobs,2006-12-15,The Good German,
500,Sci-Fi Action,135711600,Scarlett Johansson/Morgan Freeman,Luc Besson,Virginie Silla,2014-07-25,Lucy,Luc Besson
501,Sci-Fi Action,192832000,James Franco/Freida Pinto/Brian Cox/Jamie Harris/Andy Serkis/David Oyelowo,Rupert Wyatt,Peter Chernin/Dylan Clark/Thomas M. Hammel/Rick Jaffa/Amanda Silver,2011-08-05,Rise of the Planet of the Apes,Rick Jaffa/Amanda Silver
502,Sci-Fi Adventure,79667100,James Purefoy/Taylor Kitsch/Willem Dafoe/Thomas Haden Church/Mark Strong,Andrew Stanton,Colin Wilson,2012-03-09,John Carter,Mark Andrews/Michael Chabon/Andrew Stanton
503,Sci-Fi,94659100,Keanu Reeves/Jennifer Connelly/Kathy Bates/Jaden Smith/Jon Hamm,Scott Derrickson,Paul Harris Boardman/Erwin Stoff,2008-12-12,The Day the Earth Stood Still,
504,Period Horror,58321800,Stellan Skarsgard,Renny Harlin,James G. Robinson,2004-08-20,Exorcist: The Beginning,
505,War Drama,1800,Hugh Laurie,Andrew Adamson,,2014-11-07,Mr. Pip,Andrew Adamson
506,Western,6647500,Tommy Lee Jones/January Jones/Melissa Leo,Tommy Lee Jones,,2005-12-14,The Three Burials of Melquiades Estrada,Guillermo Arriaga
507,Romantic Comedy,92641100,Katherine Heigl/James Marsden,Anne Fletcher,Roger Birnbaum/Gary Barber/Jonathan Glickman/Jeffrey Silver,2008-01-18,27 Dresses,Aline Brosh McKenna
508,Thriller,5615500,Mickey Rourke/Anthony Hopkins,Michael Cimino,Michael Cimino,1990-10-05,Desperate Hours,
509,Animation,56713500,,Henry Selick,Tim Burton/Denise Di Novi,1996-04-12,James and the Giant Peach,Karey Kirkpatrick
510,Comedy,6528400,Kevin Smith,Kevin Smith,,1994-10-19,Clerks,Kevin Smith
