,Genre,Gross,actors,directors,producers,rel_date,title,writers
1593,Comedy,55318500,Tyler Perry,Tyler Perry,Tyler Perry,2013-12-13,Tyler Perry's A Madea Christmas,Tyler Perry
1594,Crime Comedy,5500,Ashley Judd,Rob Minkoff,Peter Safran,2011-08-19,Flypaper,Jon Lucas/Scott Moore
1595,Period Drama,24773200,Jon Voight/Don Cheadle,John Singleton,Jon Peters,1997-02-21,Rosewood,
1596,Unknown,619300,Liam Neeson/Joan Allen,John Madden,,1993-03-12,Ethan Frome,
1597,Action,190779500,Nicolas Cage/John Cusack/John Malkovich,Simon West,Jerry Bruckheimer,1997-06-06,Con Air,
1598,Action,211803100,Vin Diesel/Samuel L. Jackson,Rob Cohen,Vin Diesel/Todd Garner/Neal H. Moritz/George Zakk,2002-08-09,XXX,
1599,Unknown,118700,Cameron Diaz,Adam Brooks,Nick Wechsler,2001-02-02,The Invisible Circus,Adam Brooks
1600,Music Drama,34923600,Jamie Bell,Stephen Daldry,,2000-10-13,Billy Elliot,
1601,Family Comedy,36649600,Steve Coogan/Sam Elliott/Josh Gad/William H. Macy/Christopher Mintz-Plasse/Ron Perlman/Kiefer Sutherland/Damon Wayans/Owen Wilson,Tom Dey,John Davis/Tom Dey/Arnon Milchan,2010-06-04,Marmaduke,
1602,Romantic Comedy,11082400,David Schwimmer/Gwyneth Paltrow/Toni Collette,Matt Reeves,J.J. Abrams,1996-05-03,The Pallbearer,Matt Reeves
1603,Comedy,33595300,Jonah Hill/Sam Rockwell/Max Records,David Gordon Green,Michael De Luca/Jonah Hill,2011-12-09,The Sitter,Brian Gatewood/Alessandro Tanaka
1604,Comedy,33675500,Albert Brooks/Meryl Streep,Albert Brooks,Michael Grillo,1991-03-22,Defending Your Life,Albert Brooks
1605,Thriller,16225700,Joseph Gordon-Levitt/Shailene Woodley/Melissa Leo/Tom Wilkinson/Rhys Ifans/Timothy Olyphant,Oliver Stone,,2016-09-16,Snowden,
1606,Comedy,2090800,Imelda Staunton,Beeban Kidron,,1991-10-11,Antonia and Jane,
1607,Period Drama,90707900,Brad Pitt,Robert Redford,,1992-10-09,A River Runs Through It,
1608,Drama,7835700,Bryan Cranston/Diane Lane/Helen Mirren,Jay Roach,,2015-11-06,Trumbo,
1609,Drama / Thriller,130823000,Forest Whitaker,Neil Jordan,,1992-11-27,The Crying Game,
1610,Sports Drama,90821300,Sylvester Stallone,Sylvester Stallone,Irwin Winkler,2006-12-20,Rocky Balboa,Sylvester Stallone
1611,Horror Thriller,24373300,Luke Wilson/Kate Beckinsale,Nimród Antal,,2007-04-20,Vacancy,
1612,Crime Thriller,4140000,Ewan McGregor,Danny Boyle,,1995-02-10,Shallow Grave,
1613,Action / Adventure,404812200,"Chris Evans/Robert Downey, Jr./Scarlett Johansson/Sebastian Stan/Anthony Mackie/Paul Bettany/Jeremy Renner/Don Cheadle/Elizabeth Olsen/Paul Rudd/Chadwick Boseman/Frank Grillo/William Hurt/Martin Freeman/Tom Holland/Marisa Tomei",Anthony Russo/Joe Russo,Kevin Feige,2016-05-06,Captain America: Civil War,Christopher Markus/Stephen McFeely
1614,Horror,4900000,Ewan McGregor/Naomi Watts/Ryan Gosling,Marc Forster,Tom Lassally/Arnon Milchan,2005-10-21,Stay,David Benioff
1615,Comedy / Drama,58069200,Morris Chestnut/Nia Long/Terrence Howard/Sanaa Lathan,Malcolm D. Lee,,1999-10-22,The Best Man,Malcolm D. Lee
1616,Comedy,190601400,Queen Latifah/Steve Martin,Adam Shankman,David Hoberman,2003-03-07,Bringing Down the House,
1617,War Drama,65100,Samuel L. Jackson/Jessica Biel/Christina Ricci/50 Cent,Irwin Winkler,Rob Cowan/Randall Emmett/George Furla/Irwin Winkler,2006-12-15,Home of the Brave,
1618,Drama,87769900,Julia Roberts/Javier Bardem/James Franco/Billy Crudup/Viola Davis,Ryan Murphy,Dede Gardner/Jeremy Kleiner/Brad Pitt,2010-08-13,Eat Pray Love,Ryan Murphy
1619,Crime Drama,5790800,Joseph Gordon-Levitt/Isla Fisher/Matthew Goode/Carla Gugino,Scott Frank,Gary Barber/Roger Birnbaum/Jonathan Glickman/Laurence Mark,2007-03-30,The Lookout,Scott Frank
1620,Crime,104174300,"Woody Harrelson/Jared Harris/Robert Downey, Jr./Tommy Lee Jones",Oliver Stone,Arnon Milchan/Don Murphy/Clayton Townsend,1994-08-26,Natural Born Killers,Quentin Tarantino*
1621,Romantic Comedy,103863000,Sarah Jessica Parker/Alice Eve/Penelope Cruz/John Corbett,Michael Patrick King,Michael Patrick King,2010-05-27,Sex and the City 2,Michael Patrick King
1622,Period Drama,76599900,Zhang Ziyi/Michelle Yeoh,Rob Marshall,Gary Barber/Roger Birnbaum/Bobby Cohen/Lucy Fisher/Steven Spielberg/Patricia Whitcher/Douglas Wick,2005-12-09,Memoirs of a Geisha,Akiva Goldsman*
1623,Comedy,45964000,Kal Penn/Neil Patrick Harris,Jon Hurwitz/Hayden Schlossberg,Greg Shapiro,2008-04-25,Harold and Kumar Escape from Guantanamo Bay,Jon Hurwitz/Hayden Schlossberg
1624,Thriller,78200000,Kenneth Branagh/Emma Thompson,Kenneth Branagh,Sydney Pollack,1991-08-23,Dead Again,Scott Frank
1625,Comedy,54223100,Penn Badgley,Betty Thomas,,2006-07-28,John Tucker Must Die,
1626,Sci-Fi,62544300,Kristofer Hivju/Jaden Smith/Will Smith,M. Night Shyamalan,Jada Pinkett-Smith/M. Night Shyamalan/Will Smith,2013-05-31,After Earth,M. Night Shyamalan/Gary Whitta
1627,Action / Adventure,463543100,"Robert Downey, Jr./Chris Hemsworth/Mark Ruffalo/Chris Evans/Scarlett Johansson/Jeremy Renner/Don Cheadle/Aaron Johnson/Elizabeth Olsen/Paul Bettany/Anthony Mackie/Idris Elba/Stellan Skarsgard/Samuel L. Jackson/Josh Brolin",Joss Whedon,Victoria Alonso/Louis D'Esposito/Jon Favreau/Kevin Feige/Alan Fine/Stan Lee,2015-05-01,Avengers: Age of Ultron,Joss Whedon
1628,Adventure,28978500,Dennis Quaid/Tyrese Gibson/Giovanni Ribisi/Hugh Laurie,John Moore,John Davis/Wyck Godfrey,2004-12-17,Flight of the Phoenix,Scott Frank
1629,Sci-Fi Action,63692000,Michael K. Williams/Gary Oldman/Michael Keaton/Abbie Cornish/Jackie Earle Haley/Jay Baruchel/Samuel L. Jackson,Jose Padilha,Marc Abraham/Roger Birnbaum/Brad Fischer/Eric Newman,2014-02-12,RoboCop,Joshua Zetumer
1630,Historical Epic,64035900,Orlando Bloom/Eva Green/Jeremy Irons/Liam Neeson/Michael Sheen/Brendan Gleeson,Ridley Scott,Ridley Scott,2005-05-06,Kingdom of Heaven,William Monahan
1631,Comedy,848000,Diane Keaton/Kevin Kline/Elisabeth Moss,Lawrence Kasdan,,2012-04-20,Darling Companion,Lawrence Kasdan
1632,Drama,33945600,Zac Efron/Kim Basinger/Amanda Crew,Burr Steers,Marc Platt,2010-07-30,Charlie St. Cloud,
1633,Action,238877700,Rosamund Pike/Pierce Brosnan/Halle Berry/Judi Dench,Lee Tamahori,Barbara Broccoli/Michael G. Wilson,2002-11-22,Die Another Day,Neal Purvis/Robert Wade
1634,Comedy / Drama,4235900,Sally Hawkins,Mike Leigh,,2008-10-10,Happy-Go-Lucky,Mike Leigh
1635,Comedy,59650900,John Corbett/Nia Vardalos,Kirk Jones,,2016-03-25,My Big Fat Greek Wedding 2,
1636,Horror,115055000,Dustin Ingram,Henry Joost/Ariel Schulman,Jason Blum/Akiva Goldsman/Oren Peli/Steven Schneider,2011-10-21,Paranormal Activity 3,Christopher B. Landon
1637,Comedy / Drama,44420400,Cameron Diaz/Toni Collette,Curtis Hanson,Ridley Scott/Tony Scott,2005-10-07,In Her Shoes,Susannah Grant
1638,Sci-Fi Thriller,29041700,Saoirse Ronan/Max Irons/William Hurt,Andrew Niccol,Stephenie Meyer/Nick Wechsler,2013-03-29,The Host,Andrew Niccol
1639,Drama,30336700,Denzel Washington/Derek Luke,Denzel Washington,Todd Black,2002-12-19,Antwone Fisher,
1640,Drama,215937500,Chris Cooper/Kevin Spacey/Annette Bening,Sam Mendes,,1999-09-15,American Beauty,
1641,Horror Thriller,63277800,Katie Cassidy/Clark Gregg,Simon West,John Davis/Wyck Godfrey,2006-02-03,When a Stranger Calls,
1642,Comedy,29935000,Jennifer Coolidge/Parker Posey,Christopher Guest,,2000-09-29,Best in Show,
1643,Crime Drama,10401000,,Joel Coen,Ethan Coen,1990-09-21,Miller's Crossing,Ethan Coen/Joel Coen
1644,Action,60327500,Sylvester Stallone/Antonio Banderas/Julianne Moore,Richard Donner,Lauren Schuler Donner/Bruce A. Evans/Raynold Gideon/Andrew Lazar/Joel Silver/Jim Van Wyck,1995-10-06,Assassins,Brian Helgeland/Lilly &amp; Lana Wachowski
1645,War,62144200,Sean Penn/Adrien Brody/James Caviezel/John Cusack/Woody Harrelson/John C. Reilly,Terrence Malick,,1998-12-25,The Thin Red Line,
1646,Romantic Thriller,45144200,Michael Douglas/Liam Neeson,David Seltzer,,1992-01-31,Shining Through,David Seltzer
1647,Period Comedy,31610700,Cate Blanchett/Julianne Moore,Oliver Parker,,1999-06-18,An Ideal Husband,Oliver Parker
1648,Sci-Fi Action,48391800,Ewan McGregor/Scarlett Johansson/Sean Bean/Michael Clarke Duncan,Michael Bay,Michael Bay/Ian Bryce,2005-07-22,The Island,Alex Kurtzman/Roberto Orci
1649,Drama,1239700,Ben Foster/Jena Malone/Woody Harrelson,Oren Moverman,Mark Gordon,2009-11-13,The Messenger,Alessandro Camon/Oren Moverman
1650,Sci-Fi Thriller,41490300,Justin Timberlake/Amanda Seyfried/Cillian Murphy/Olivia Wilde/Alex Pettyfer,Andrew Niccol,Marc Abraham/Arnon Milchan/Eric Newman/Andrew Niccol,2011-10-28,In Time,Andrew Niccol
1651,Animation,51371000,James McAvoy/Hugh Laurie/Jim Broadbent/Imelda Staunton/Andy Serkis,Sarah Smith,Peter Lord,2011-11-23,Arthur Christmas,Peter Baynham/Sarah Smith
1652,War Drama,11781100,Christian Bale/Kenneth Branagh,Thomas Carter,Mark Gordon/Frank Marshall/Christopher Meledandri,1993-03-05,Swing Kids,
1653,Comedy / Drama,2642000,Angela Bassett/John Cusack/Samuel L. Jackson/Wesley Snipes,Spike Lee,Spike Lee,2015-12-04,Chi-Raq,
1654,Comedy / Drama,4393800,Rebecca Hall/Amanda Peet,Nicole Holofcener,,2010-04-30,Please Give,Nicole Holofcener
1655,Comedy,121178200,Will Ferrell/John C. Reilly/Adam Scott,Adam McKay,Judd Apatow/Adam McKay,2008-07-25,Step Brothers,Adam McKay/Will Ferrell
1656,Comedy,126419000,Dwayne Johnson/Kevin Hart/Amy Ryan,Rawson Marshall Thurber,Scott Stuber,2016-06-17,Central Intelligence,
1657,Comedy,6159700,Henry Cavill,Woody Allen,,2009-06-19,Whatever Works,Woody Allen
1658,Family Comedy,38770100,Mary-Kate Olsen,Andy Tennant,,1995-11-17,It Takes Two,
1659,Animation,53053200,Ben Kingsley/Toni Collette/Jared Harris/Simon Pegg/Nick Frost/Tracy Morgan,Graham Annable/Anthony Stacchi,Travis Knight,2014-09-26,The Boxtrolls,Irena Brignull/Adam Pava
1660,Action / Crime,9729500,Ryan Phillippe/Benicio Del Toro,Christopher McQuarrie,,2000-09-08,The Way of the Gun,Christopher McQuarrie
1661,Comedy,174838200,Chris Klein,Paul Weitz/Chris Weitz*,Chris Bender*/Chris Moore/Chris Weitz,1999-07-09,American Pie,
1662,Comedy,10892900,Dave Franco/Vince Vaughn/Tom Wilkinson,Ken Scott,,2015-03-06,Unfinished Business,
1663,Drama,19289600,Jeremy Irons/Jason Sudeikis/William Hurt,Stephen Hopkins,,2016-02-19,Race,
1664,Fantasy Comedy,60834800,Brendan Fraser,Harold Ramis,,2000-10-20,Bedazzled,Harold Ramis/Peter Tolan
1665,Horror Comedy,18642100,Kyle Gallner/Chris Pratt/Megan Fox/Amanda Seyfried,Karyn Kusama,Diablo Cody/Mason Novick/Jason Reitman,2009-09-18,Jennifer's Body,Diablo Cody
1666,Comedy,73312800,Paul Rudd/Leslie Mann/Albert Brooks/Megan Fox/Jason Segel/Melissa McCarthy,Judd Apatow,Judd Apatow/Barry Mendel/Clayton Townsend,2012-12-21,This Is 40,Judd Apatow
1667,Romantic Comedy,10281800,Diane Keaton/Goldie Hawn,Peter Chelsom,Michael De Luca/Simon Fields/Sidney Kimmel,2001-04-27,Town & Country,
1668,Romance,17513700,Ralph Fiennes/Julianne Moore,Neil Jordan,,1999-12-03,The End of the Affair,
1669,Action Thriller,12001000,Kevin Bacon/Garrett Hedlund,James Wan,,2007-08-31,Death Sentence,Ian Mackenzie Jeffers
1670,Comedy / Drama,70722600,Meryl Streep/Tommy Lee Jones/Steve Carell,David Frankel,Todd Black/Jason Blumenthal/Steve Tisch,2012-08-08,Hope Springs,Vanessa Taylor
1671,Drama,48520000,Daniel Day-Lewis/Paul Dano,Paul Thomas Anderson,Paul Thomas Anderson/Daniel Lupi/Scott Rudin/JoAnne Sellar,2007-12-26,There Will Be Blood,Paul Thomas Anderson
1672,Comedy,1175300,Albert Brooks/Amy Ryan,Albert Brooks,,2006-01-20,Looking for Comedy in the Muslim World,Albert Brooks
1673,Drama,14306500,Laura Linney/Mark Ruffalo/Matthew Broderick/Rory Culkin/Amy Ryan,Kenneth Lonergan,Martin Scorsese,2000-11-10,You Can Count on Me,Kenneth Lonergan
1674,Sports Drama,83289900,Russell Crowe/Renee Zellweger/Paul Giamatti,Ron Howard,Brian Grazer/Ron Howard/Penny Marshall,2005-06-03,Cinderella Man,Akiva Goldsman
1675,Family Adventure,205750300,Ben Stiller/Amy Adams/Owen Wilson/Robin Williams/Christopher Guest/Steve Coogan/Ricky Gervais/Jonah Hill,Shawn Levy,Chris Columbus/Thomas M. Hammel,2009-05-22,Night at the Museum: Battle of the Smithsonian,Thomas Lennon &amp; Ben Garant
1676,Family Adventure,65556200,Danny DeVito,Danny DeVito,Michael Shamberg/Stacey Sher,1996-08-02,Matilda,
1677,Crime Comedy,8129500,Jon Favreau/Vince Vaughn/Famke Janssen/Sean 'P. Diddy' Combs,Jon Favreau,Jon Favreau/Vince Vaughn,2001-07-13,Made,Jon Favreau
1678,Drama,2530500,Cate Blanchett/Topher Grace/Elisabeth Moss/Dennis Quaid/Robert Redford,James Vanderbilt,,2015-10-16,Truth,
1679,Action,5511400,Rutger Hauer,Phillip Noyce,,1990-03-16,Blind Fury,
1680,Thriller,30190400,Halle Berry/Bruce Willis/Giovanni Ribisi,James Foley,,2007-04-13,Perfect Stranger,
1681,Comedy,109298900,Rob Schneider,Mike Mitchell,Jack Giarraputo/Adam Sandler,1999-12-10,Deuce Bigalow: Male Gigolo,
1682,Family Comedy,122437500,Lindsay Lohan/Dennis Quaid,Nancy Meyers,Charles Shyer,1998-07-31,The Parent Trap,Nancy Meyers/Charles Shyer
1683,Romance,1565700,Hugh Laurie,David Hare,Rick McCallum,1990-05-18,Strapless,David Hare
1684,Sports Drama,135800000,Clint Eastwood/Hilary Swank/Morgan Freeman/Jay Baruchel,Clint Eastwood,Clint Eastwood/Paul Haggis/Robert Lorenz/Gary Lucchesi/Tom Rosenberg,2004-12-15,Million Dollar Baby,Paul Haggis
1685,Comedy / Drama,27763800,Joaquin Phoenix/Amy Adams/Scarlett Johansson/Rooney Mara/Chris Pratt/Olivia Wilde,Spike Jonze,Megan Ellison/Spike Jonze/Daniel Lupi,2013-12-18,Her,Spike Jonze
1686,Drama,4559700,Andy Serkis,Mike Leigh,,1997-08-08,Career Girls,Mike Leigh
1687,Drama,43964900,Mo'Nique/Snoop Dogg/Tyrese Gibson/Taraji P. Henson,John Singleton,,2001-06-27,Baby Boy,
1688,Crime Thriller,1447600,Demi Moore/Michael Caine,Michael Radford,,2008-03-28,Flawless,
1689,Drama,17079900,Kal Penn,Mira Nair,,2007-03-09,The Namesake,
1690,Fantasy Comedy,38476900,John Cusack/Cameron Diaz/John Malkovich,Spike Jonze,Steve Golin,1999-10-29,Being John Malkovich,Charlie Kaufman
1691,Action Comedy,44349600,Clint Eastwood/Charlie Sheen,Clint Eastwood,David Valdes,1990-12-07,The Rookie,Boaz Yakin
1692,Comedy,3600,Alicia Silverstone,Amy Heckerling,,2012-11-02,Vamps,Amy Heckerling
1693,Action / Adventure,129670600,Carla Gugino/Billy Crudup/Matthew Goode/Jackie Earle Haley/Jeffrey Dean Morgan/Patrick Wilson,Zack Snyder,Lawrence Gordon/Lloyd Levin/Deborah Snyder/Thomas Tull,2009-03-06,Watchmen,David Hayter
1694,Fantasy,350479900,Daniel Radcliffe/Rupert Grint/Emma Watson/Jim Broadbent/Helena Bonham Carter/Alan Rickman,David Yates,David Heyman,2009-07-15,Harry Potter and the Half-Blood Prince,Steve Kloves
1695,Sci-Fi Horror,111955600,Ewen Bremner/Sanaa Lathan/Lance Henriksen,Paul W.S. Anderson,Gordon Carroll/John Davis/David Giler/Wyck Godfrey/Thomas M. Hammel/Walter Hill,2004-08-13,Alien Vs. Predator,Paul W.S. Anderson
1696,Sci-Fi Thriller,44787500,Clive Owen/Julianne Moore/Michael Caine/Chiwetel Ejiofor,Alfonso Cuaron,Marc Abraham/Eric Newman,2006-12-25,Children of Men,Mark Fergus/Hawk Ostby
1697,Comedy,42851700,Seth Rogen/Joseph Gordon-Levitt/Anthony Mackie,Jonathan Levine,Evan Goldberg/Seth Rogen,2015-11-20,The Night Before,Evan Goldberg/Jonathan Levine
1698,Drama,37005100,Anthony Hopkins,Scott Hicks,Kerry Heysen,2001-09-28,Hearts in Atlantis,
1699,Family Comedy,146481500,Justin Long/Christina Applegate/Anna Faris,Mike Mitchell,Arnon Milchan,2011-12-16,Alvin and the Chipmunks: Chipwrecked,Jonathan Aibel/Glenn Berger
1700,Drama,22380800,Al Pacino/Ed Harris/Kevin Spacey/Alec Baldwin/Jonathan Pryce,James Foley,,1992-10-02,Glengarry Glen Ross,David Mamet
1701,Sci-Fi Comedy,6588300,Eddie Murphy/Randy Quaid/Rosario Dawson,Ron Underwood,,2002-08-16,The Adventures of Pluto Nash,
1702,Romantic Comedy,19559300,Jennifer Garner/Timothy Olyphant/Kevin Smith,Susannah Grant,Ryan Kavanaugh,2007-01-26,Catch and Release,Susannah Grant
1703,Comedy,23544000,Billy Bob Thornton/Jon Heder/Michael Clarke Duncan/Dan Fogler/Ben Stiller,Todd Phillips,Scott Budnick/Craig Mazin/Todd Phillips,2006-09-29,School for Scoundrels,
1704,Comedy,46556300,Chris Rock/Martin Lawrence/Tracy Morgan/Danny Glover/Regina Hall/Zoe Saldana/Luke Wilson/James Marsden,Neil LaBute,Sidney Kimmel,2010-04-16,Death at a Funeral,
1705,Thriller,125717800,Kathy Bates,Rob Reiner,,1990-11-30,Misery,
1706,Thriller,745800,Zac Efron/Matthew McConaughey/Nicole Kidman/John Cusack/David Oyelowo,Lee Daniels,,2012-10-05,The Paperboy,Lee Daniels
1707,War Drama,18880700,Robert Redford/Meryl Streep/Tom Cruise/Andrew Garfield/Peter Berg/Derek Luke,Robert Redford,Matthew Michael Carnahan/Daniel Lupi,2007-11-09,Lions for Lambs,Matthew Michael Carnahan
1708,Animation,406102900,Steve Carell/Kristen Wiig/Benjamin Bratt/Russell Brand/Steve Coogan,Pierre Coffin/Chris Renaud,Janet Healy/Christopher Meledandri,2013-07-03,Despicable Me 2,Ken Daurio/Cinco Paul
1709,Unknown,733100,Rachel Weisz/Ian McKellen/Kathy Bates,Beeban Kidron,,1998-01-23,Swept from the Sea,
1710,Thriller,1079900,Jake Gyllenhaal/Melanie Laurent,Denis Villeneuve,,2014-03-14,Enemy,
1711,Action,28609900,Owen Wilson/Pierce Brosnan/Lake Bell,John Erick Dowdle,Drew Dowdle,2015-08-26,No Escape,Drew Dowdle/John Erick Dowdle
1712,Comedy,98776700,Marlon Wayans/Shawn Wayans,Keenen Ivory Wayans,Rick Alvarez/Lee R. Mayes,2004-06-23,White Chicks,Keenen Ivory Wayans
1713,Horror Thriller,11002100,Heath Ledger,Brian Helgeland,Thomas M. Hammel/Brian Helgeland,2003-09-05,The Order,Brian Helgeland
1714,Horror,48282200,Peter Sarsgaard/Vera Farmiga,Jaume Collet-Serra,Don Carmody/Leonardo DiCaprio/Susan Downey/Joel Silver,2009-07-24,Orphan,David Leslie Johnson
1715,Comedy / Drama,37559500,Kathy Bates,Beeban Kidron,Lloyd Levin,1992-12-18,Used People,
1716,Comedy / Drama,5248900,Miranda July,Miranda July,,2005-06-17,Me and You and Everyone We Know,Miranda July
1717,Comedy / Drama,4259000,Greta Gerwig,Noah Baumbach,,2013-05-17,Frances Ha,Noah Baumbach/Greta Gerwig
1718,Unknown,326400,Alan Alda,Michael Moore,,1995-09-22,Canadian Bacon,
1719,Sports Drama,85422900,Billy Bob Thornton/Lucas Black/Garrett Hedlund/Derek Luke,Peter Berg,Brian Grazer,2004-10-08,Friday Night Lights,Peter Berg
1720,Action,73456400,Bruce Willis/Jai Courtney,John Moore,Wyck Godfrey/Jason Keller/Bruce Willis/Alex Young,2013-02-14,A Good Day to Die Hard,Skip Woods
1721,Drama,399100,Mathieu Amalric,Roman Polanski,,2014-06-20,Venus in Fur,
1722,Action Drama,20165500,Jeff Bridges/Ryan Phillippe,Ridley Scott,Ridley Scott,1996-02-02,White Squall,
1723,Action Comedy,70486600,Chris Cooper/Wesley Snipes/Woody Harrelson/Jennifer Lopez,Joseph Ruben,Jon Peters,1995-11-22,Money Train,
1724,Comedy,160400,Luke Wilson/Eva Mendes/Owen Wilson,Luke Wilson,Mark Johnson,2007-05-18,The Wendell Baker Story,Luke Wilson
1725,Western Comedy,194005600,Will Smith/Kevin Kline/Kenneth Branagh/Salma Hayek,Barry Sonnenfeld,Jon Peters/Barry Sonnenfeld,1999-06-30,Wild Wild West,
1726,Comedy,31860300,Vince Vaughn/Chris Pratt,Ken Scott,Scott Mednick,2013-11-22,Delivery Man,Ken Scott
1727,Crime Drama,155693300,Tom Hanks/Paul Newman/Jude Law/Daniel Craig,Sam Mendes,,2002-07-12,Road to Perdition,
1728,Action,163316600,Nicolas Cage/Giovanni Ribisi/Angelina Jolie/Timothy Olyphant/Robert Duvall,Dominic Sena,Jerry Bruckheimer,2000-06-09,Gone in 60 Seconds,
1729,Animation,87318500,Benedict Cumberbatch/John Malkovich,Eric Darnell/Simon J. Smith,Lara Breay/Eric Darnell/Tom McGrath/Mireille Soria/Mark Swift,2014-11-26,Penguins of Madagascar,
1730,Drama / Thriller,2744400,Joseph Gordon-Levitt/Lukas Haas/Emilie de Ravin,Rian Johnson,Ram Bergman,2006-03-31,Brick,Rian Johnson
1731,Comedy / Drama,171400,"Michael Keaton/Robert Downey, Jr.",Michael Hoffman,,2006-03-10,Game 6,
1732,Action Thriller,167936000,Colin Farrell/Samuel L. Jackson/Michelle Rodriguez/Jeremy Renner,Clark Johnson,Todd Black/Louis D'Esposito/Dan Halsted/Neal H. Moritz,2003-08-08,S.W.A.T.,David Ayer
1733,Action Horror,69358800,Liam Neeson/Frances McDormand,Sam Raimi,,1990-08-24,Darkman,
1734,Animation,70746100,Elijah Wood/Robin Williams/Brad Pitt/Matt Damon/Common/Hugo Weaving,George Miller,George Miller,2011-11-18,Happy Feet Two,George Miller
1735,Romance,61530800,Mandy Moore,Adam Shankman,Denise Di Novi/Bill Johnson/Casey La Scalla*/Hunt Lowry,2002-01-25,A Walk to Remember,Karen Janszen
1736,Comedy / Drama,5100,Edward Burns,Edward Burns,,2012-01-13,Newlyweds,Edward Burns
1737,Fantasy,391217800,Daniel Radcliffe/Emma Watson/Rupert Grint/Ralph Fiennes/Brendan Gleeson/Robert Pattinson,Mike Newell,David Heyman,2005-11-18,Harry Potter and the Goblet of Fire,Steve Kloves
1738,Comedy,33085500,Lindsay Lohan/Charlie Sheen,Malcolm D. Lee,David Zucker,2013-04-12,Scary Movie 5,David Zucker
1739,Animation,226416800,Tom Hanks,Robert Zemeckis,Gary Goetzman/Tom Hanks,2004-11-10,The Polar Express,
1740,Adventure,182200,Helena Bonham Carter,Jean-Pierre Jeunet,,2015-07-31,The Young & Prodigious T.S. Spivet,Jean-Pierre Jeunet
1741,Comedy,42557600,Ice Cube/Jamie Foxx/Bernie Mac,Ice Cube,Ice Cube,1998-04-10,The Players Club,Ice Cube
1742,Period Adventure,292453400,Naomi Watts/Jack Black/Adrien Brody/Andy Serkis/Jamie Bell,Peter Jackson,Peter Jackson/Fran Walsh,2005-12-14,King Kong,Philippa Boyens/Fran Walsh
1743,Horror,249770700,Harrison Ford/Michelle Pfeiffer,Robert Zemeckis,Mark Johnson*,2000-07-21,What Lies Beneath,Clark Gregg
1744,Horror Thriller,59395300,Daniel Radcliffe,James Watkins,Roy Lee,2012-02-03,The Woman in Black,Jane Goldman
1745,Musical,481700,Alicia Silverstone/Matthew Lillard,Kenneth Branagh,,2000-06-09,Love's Labour's Lost,
1746,Horror,90926300,Rose Byrne/Patrick Wilson,James Wan,Jason Blum/Brian Kavanaugh-Jones/Oren Peli,2013-09-13,Insidious Chapter 2,Leigh Whannell
1747,Action,25125900,Dwayne Johnson/Billy Bob Thornton/Carla Gugino,"George Tillman, Jr.",,2010-11-24,Faster,
1748,Comedy / Drama,15200,Orlando Bloom/Laura Linney/Mark Ruffalo,Mark Ruffalo,,2011-04-29,Sympathy for Delicious,
1749,Sci-Fi Thriller,93619400,Julianne Moore,Joseph Ruben,Joe Roth,2004-09-24,The Forgotten,Gerald Di Pego
1750,Adventure,10090900,Joseph Gordon-Levitt/Ben Kingsley,Robert Zemeckis,Robert Zemeckis,2015-09-30,The Walk,
1751,Action Drama,119500,Tom Hardy,Nicolas Winding Refn,,2009-10-09,Bronson,Nicolas Winding Refn
1752,Action / Crime,19213000,Jason Statham/Jennifer Lopez,Taylor Hackford,Taylor Hackford/Sidney Kimmel/Peter Schlessel,2013-01-25,Parker,John J. McLaughlin
1753,Drama,19270500,Anton Yelchin/Justin Timberlake/Sharon Stone/Ben Foster/Amanda Seyfried/Bruce Willis,Nick Cassavetes,Sidney Kimmel,2007-01-12,Alpha Dog,
1754,Drama,40600,Vera Farmiga,Debra Granik,,2005-11-25,Down to the Bone,Debra Granik
1755,Comedy,606700,Gemma Arterton/Dominic Cooper,Stephen Frears,,2010-10-08,Tamara Drewe,
1756,Drama,2559700,Christopher Walken/Helen Mirren,Paul Schrader,,1991-03-15,The Comfort of Strangers,
1757,Comedy,8136000,Marisa Tomei/Jonah Hill/John C. Reilly,Jay Duplass/Mark Duplass,Ridley Scott/Tony Scott,2010-06-18,Cyrus,Jay Duplass/Mark Duplass
1758,Drama,1171200,Jude Law/Vera Farmiga,Anthony Minghella,Anthony Minghella/Sydney Pollack,2006-12-15,Breaking and Entering,
1759,Comedy / Drama,7620700,Steve Carell/Keira Knightley/Adam Brody/Derek Luke,Lorene Scafaria,Steve Golin/Joy Gorman/Steven M. Rales/Mark Roybal,2012-06-22,Seeking a Friend for the End of the World,Lorene Scafaria
1760,Animation,233011700,Ben Stiller/Chris Rock/David Schwimmer/Jada Pinkett-Smith/Sacha Baron Cohen/Cedric the Entertainer/Jessica Chastain/Frances McDormand/Bryan Cranston,Eric Darnell/Tom McGrath/Conrad Vernon,Mireille Soria/Mark Swift,2012-06-08,Madagascar 3: Europe's Most Wanted,Noah Baumbach/Eric Darnell
1761,Drama,28700,Greta Gerwig,Joe Swanberg,Joe Swanberg,2007-08-22,Hannah Takes the Stairs,Greta Gerwig/Joe Swanberg
1762,Drama,185800,Michael Fassbender,Steve McQueen (II),Iain Canning,2008-12-05,Hunger,Steve McQueen (II)
