,a_exp,a_score,a_star,d_exp,d_score,da_coop,dp_coop,pw_coop,title
1335,0.0,864.93645,1,0.0,0.0,0.0,0.0,0.0,The Book of Life
1336,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
1337,2.0,847.8542,2,1.0,10.8598,0.0,0.0,0.0,Bounce
1338,3.0,516.1313333333334,0,2.0,581.7021,0.0,0.5,0.0,The Bounty Hunter
1339,2.75,516.328725,2,0.0,37.8084,0.0,0.0,0.0,The Bourne Identity
1340,0.75,443.26635,0,0.0,110.1321,0.0,0.6666666666666666,1.1666666666666667,The Bourne Legacy
1341,4.25,749.67455,2,0.0,0.0,0.0,0.0,1.0,The Bourne Supremacy
1342,4.0,909.34995,1,2.0,245.7738,0.75,1.0,0.6666666666666666,The Bourne Ultimatum
1343,0.5,647.3523250000001,0,0.0,0.0,0.0,0.0,0.0,The Boxtrolls
1344,0.0,173.9823,0,1.0,194.8595,0.0,0.0,0.0,The Boy Next Door
1345,2.0,169.0083,0,3.0,189.014,2.0,4.0,1.0,Boyhood
1346,0.0,783.384,0,0.0,0.0,0.0,0.0,0.0,Brave
1347,4.25,784.153975,2,3.0,139.0178,0.0,0.0,0.0,The Break-Up
1348,6.0,828.3485,0,0.0,0.0,0.0,0.0,0.0,Brick Mansions
1349,2.6666666666666665,265.8310333333333,0,2.0,84.1168,0.0,0.0,0.0,Bride Wars
1350,2.5,442.9373749999999,0,1.0,21.8538,0.25,0.0,0.0,Bridesmaids
1351,1.5,600.7001750000001,1,1.0,1152.6792,0.2,0.5,0.3333333333333333,Bridge of Spies
1352,4.0,393.97364999999996,0,2.0,72.613,0.0,0.0,0.5,Bridget Jones: The Edge of Reason
1353,0.0,9.8597,0,1.0,9.6593,0.0,0.0,0.0,Bright Star
1354,3.5,1290.5733500000001,1,0.0,0.0,0.0,0.0,0.0,Brighton Rock
1355,2.0,738.5877,1,0.0,0.0,0.0,0.0,0.0,Bring It On
1356,3.0,480.70095000000003,0,1.0,92.4154,0.0,0.0,0.0,Bringing Down the House
1357,3.75,718.605725,0,0.0,103.3046,0.0,0.0,0.0,Broken City
1358,2.5,621.054,1,4.0,336.1976,0.2,0.0,0.0,Brooklyn's Finest
1359,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Brotherhood of the Wolf
1360,4.333333333333333,1481.7889000000002,2,2.0,52.898,0.0,0.0,0.0,Brothers
1361,1.75,553.5615,1,1.0,131.6768,0.0,1.0,0.0,The Brothers Grimm
1362,1.3333333333333333,206.13909999999998,0,1.0,42.7198,0.3333333333333333,0.0,0.0,Brown Sugar
1363,2.75,826.2385499999999,2,5.0,981.0368,0.5,0.3333333333333333,0.15789473684210525,Bruce Almighty
1364,6.5,1132.5037499999999,1,5.0,149.0428,0.0,0.0,0.0,The Bucket List
1365,4.0,601.18495,0,2.0,68.1319,0.0,0.6666666666666666,0.5,Bucky Larson: Born to Be a Star
1366,5.25,920.074775,2,2.5,137.5353,0.3,2.0,3.0,Burn After Reading
1367,3.25,942.872075,2,0.0,45.9461,0.0,0.0,0.0,Burnt
1368,3.0,1313.2902,1,0.0,0.0,0.0,0.0,0.0,By the Sea
1369,0.6666666666666666,804.3135333333333,0,3.0,4.1921,0.0,0.0,0.0,The Call
1370,4.333333333333333,920.8784666666667,2,0.0,0.0,0.0,0.0,0.0,Capote
1371,2.25,939.3842999999999,1,1.0,371.0558,0.0,0.0,0.0,Captain America: The First Avenger
1372,6.5,1667.1400999999998,3,0.0,99.9908,0.0,0.0,0.6666666666666666,Captain America: The Winter Soldier
1373,0.3333333333333333,418.7381,1,0.0,189.1738,0.0,0.0,0.0,Captain Corelli's Mandolin
1374,4.0,1839.441,1,1.0,611.9062,0.0,0.0,0.0,Captain Phillips
1375,0.25,217.63942500000002,0,0.0,13.1658,0.0,0.0,0.0,Carrie
1376,0.5,953.784825,2,3.0,1089.7775,0.0,1.0,0.5,Cars
1377,1.0,1412.0958,2,1.0,161.3556,0.375,0.0,0.0,Cars 2
1378,0.0,720.7919999999999,0,0.0,0.0,0.0,0.0,0.0,Case 39
1379,0.0,1134.7971,0,0.0,2.1087,0.0,0.0,0.0,Casino Jack
1380,1.25,456.7825,1,2.0,499.9099,0.2,1.0,1.3333333333333333,Casino Royale
1381,3.0,1569.2912499999998,2,1.0,992.5257,0.5,0.0,0.0,Cast Away
1382,4.0,359.75460000000004,0,0.0,0.0,0.0,0.0,0.0,Catch and Release
1383,4.5,1475.514725,3,2.0,1708.4926,0.25,0.0,0.0,Catch Me If You Can
1384,3.0,723.8905,2,0.0,0.0,0.0,0.0,0.0,Cats & Dogs: The Revenge of Kitty Galore
